rgb,depth,mask,type,physical_id,placement_id,frame,occupancy,t,area_mm2,length_mm,width_mm,elongation,max_height_mm,mean_height_mm,p90_height_mm,height_std_mm,volume_mm3,invalid_depth_frac,source_split,source_file
images\1671102934432.jpg,,masks\1671102934432.png,test_tube,1671102934432,1671102934432,0,ONE,,604.9375,46.9066,37.2607,1.2589,0.0,0.0,0.0,0.0,0.0,0.0,train,images\test_tube\1671102934432.jpeg
images\1671115710522.jpg,,masks\1671115710522.png,medical_glasses,1671115710522,1671115710522,0,ONE,,996.0,61.5,48.25,1.2746,0.0,0.0,0.0,0.0,0.0,0.0,train,images\medical_glasses\1671115710522.jpeg
images\1671037899535.jpg,,masks\1671037899535.png,glove_pair_surgery,1671037899535,1671037899535,0,ONE,,9797.6875,133.75,125.75,1.0636,0.0,0.0,0.0,0.0,0.0,0.0,train,images\glove_pair_surgery\1671037899535.jpeg
images\1671097221679.jpg,,masks\1671097221679.png,glove_single_nitrile,1671097221679,1671097221679,0,ONE,,17404.625,149.75,126.25,1.1861,0.0,0.0,0.0,0.0,0.0,0.0,train,images\glove_single_nitrile\1671097221679.jpeg
images\1671036579026.jpg,,masks\1671036579026.png,glove_single_surgery,1671036579026,1671036579026,0,ONE,,6115.8125,129.25,70.25,1.8399,0.0,0.0,0.0,0.0,0.0,0.0,train,images\glove_single_surgery\1671036579026.jpeg
images\1671036540504.jpg,,masks\1671036540504.png,glove_single_surgery,1671036540504,1671036540504,0,ONE,,8679.0625,139.5,115.25,1.2104,0.0,0.0,0.0,0.0,0.0,0.0,train,images\glove_single_surgery\1671036540504.jpeg
images\1671187678786.jpg,,masks\1671187678786.png,gauze,1671187678786,1671187678786,0,ONE,,3710.375,106.75,87.5,1.22,0.0,0.0,0.0,0.0,0.0,0.0,train,images\gauze\1671187678786.jpeg
images\1671115700582.jpg,,masks\1671115700582.png,medical_glasses,1671115700582,1671115700582,0,ONE,,1084.125,50.75,47.75,1.0628,0.0,0.0,0.0,0.0,0.0,0.0,train,images\medical_glasses\1671115700582.jpeg
images\1671104011026.jpg,,masks\1671104011026.png,medical_cap,1671104011026,1671104011026,0,ONE,,13879.6875,141.432,126.0909,1.1217,0.0,0.0,0.0,0.0,0.0,0.0,train,images\medical_cap\1671104011026.jpeg
images\1671037330714.jpg,,masks\1671037330714.png,glove_pair_surgery,1671037330714,1671037330714,0,ONE,,13648.375,149.75,120.75,1.2402,0.0,0.0,0.0,0.0,0.0,0.0,train,images\glove_pair_surgery\1671037330714.jpeg
images\1671115116393.jpg,,masks\1671115116393.png,shoe_cover_pair,1671115116393,1671115116393,0,ONE,,11344.625,154.1003,118.7651,1.2975,0.0,0.0,0.0,0.0,0.0,0.0,train,images\shoe_cover_pair\1671115116393.jpeg
images\1671098653503.jpg,,masks\1671098653503.png,glove_single_latex,1671098653503,1671098653503,0,ONE,,1013.5,54.5,32.25,1.6899,0.0,0.0,0.0,0.0,0.0,0.0,train,images\glove_single_latex\1671098653503.jpeg
images\1671114894970.jpg,,masks\1671114894970.png,shoe_cover_pair,1671114894970,1671114894970,0,ONE,,12922.8125,147.25,128.0,1.1504,0.0,0.0,0.0,0.0,0.0,0.0,train,images\shoe_cover_pair\1671114894970.jpeg
images\1671115764587.jpg,,masks\1671115764587.png,medical_glasses,1671115764587,1671115764587,0,ONE,,1197.25,62.9763,29.6856,2.1214,0.0,0.0,0.0,0.0,0.0,0.0,train,images\medical_glasses\1671115764587.jpeg
images\1671104130394.jpg,,masks\1671104130394.png,medical_cap,1671104130394,1671104130394,0,ONE,,9471.6875,138.75,87.0,1.5948,0.0,0.0,0.0,0.0,0.0,0.0,train,images\medical_cap\1671104130394.jpeg
images\1671104111820.jpg,,masks\1671104111820.png,medical_cap,1671104111820,1671104111820,0,ONE,,7395.875,130.25,79.75,1.6332,0.0,0.0,0.0,0.0,0.0,0.0,train,images\medical_cap\1671104111820.jpeg
images\1671097973393.jpg,,masks\1671097973393.png,glove_pair_nitrile,1671097973393,1671097973393,0,ONE,,11663.4375,139.25,134.5,1.0353,0.0,0.0,0.0,0.0,0.0,0.0,train,images\glove_pair_nitrile\1671097973393.jpeg
images\1671114413673.jpg,,masks\1671114413673.png,shoe_cover_single,1671114413673,1671114413673,0,ONE,,10190.0625,129.2641,114.3702,1.1302,0.0,0.0,0.0,0.0,0.0,0.0,train,images\shoe_cover_single\1671114413673.jpeg
images\1671114861820.jpg,,masks\1671114861820.png,shoe_cover_pair,1671114861820,1671114861820,0,ONE,,12158.6875,157.2563,117.1719,1.3421,0.0,0.0,0.0,0.0,0.0,0.0,train,images\shoe_cover_pair\1671114861820.jpeg
images\1671103217890.jpg,,masks\1671103217890.png,test_tube,1671103217890,1671103217890,0,ONE,,2437.6875,81.0,79.0,1.0253,0.0,0.0,0.0,0.0,0.0,0.0,train,images\test_tube\1671103217890.jpeg
images\1671114819362.jpg,,masks\1671114819362.png,shoe_cover_pair,1671114819362,1671114819362,0,ONE,,6650.125,130.8244,76.7431,1.7047,0.0,0.0,0.0,0.0,0.0,0.0,train,images\shoe_cover_pair\1671114819362.jpeg
