rgb,depth,mask,type,physical_id,placement_id,frame,occupancy,t,area_mm2,length_mm,width_mm,elongation,max_height_mm,mean_height_mm,p90_height_mm,height_std_mm,volume_mm3,invalid_depth_frac
needle\sim_needle_000\sim_needle_000_p000\rgb_00.png,needle\sim_needle_000\sim_needle_000_p000\depth_00.png,needle\sim_needle_000\sim_needle_000_p000\mask.png,needle,sim_needle_000,sim_needle_000_p000,0,ONE,1790365377.061,60.375,42.6488,5.8487,7.292,6.9837,3.6146,5.7909,2.0855,199.2547,0.0031
needle\sim_needle_000\sim_needle_000_p000\rgb_01.png,needle\sim_needle_000\sim_needle_000_p000\depth_01.png,needle\sim_needle_000\sim_needle_000_p000\mask.png,needle,sim_needle_000,sim_needle_000_p000,1,ONE,1790365377.279,59.75,42.6268,5.2606,8.1031,6.782,3.6516,5.7013,2.0268,198.1012,0.0031
needle\sim_needle_001\sim_needle_001_p000\rgb_00.png,needle\sim_needle_001\sim_needle_001_p000\depth_00.png,needle\sim_needle_001\sim_needle_001_p000\mask.png,needle,sim_needle_001,sim_needle_001_p000,0,ONE,1790365377.571,62.75,42.5761,5.3507,7.9571,7.1485,3.5098,5.6923,2.0787,206.1979,0.004
needle\sim_needle_001\sim_needle_001_p000\rgb_01.png,needle\sim_needle_001\sim_needle_001_p000\depth_01.png,needle\sim_needle_001\sim_needle_001_p000\mask.png,needle,sim_needle_001,sim_needle_001_p000,1,ONE,1790365377.795,63.125,42.5761,5.3507,7.9571,6.9156,3.5213,5.6385,2.0464,204.2366,0.0
needle\sim_needle_002\sim_needle_002_p000\rgb_00.png,needle\sim_needle_002\sim_needle_002_p000\depth_00.png,needle\sim_needle_002\sim_needle_002_p000\mask.png,needle,sim_needle_002,sim_needle_002_p000,0,ONE,1790365378.097,58.5625,42.6,5.25,8.1143,6.596,3.6527,5.6252,2.0347,199.0743,0.0053
needle\sim_needle_002\sim_needle_002_p000\rgb_01.png,needle\sim_needle_002\sim_needle_002_p000\depth_01.png,needle\sim_needle_002\sim_needle_002_p000\mask.png,needle,sim_needle_002,sim_needle_002_p000,1,ONE,1790365378.31,57.25,42.6,5.25,8.1143,7.0143,3.6507,5.6353,2.0042,196.9116,0.0033
needle\sim_needle_003\sim_needle_003_p000\rgb_00.png,needle\sim_needle_003\sim_needle_003_p000\depth_00.png,needle\sim_needle_003\sim_needle_003_p000\mask.png,needle,sim_needle_003,sim_needle_003_p000,0,ONE,1790365378.612,66.4375,42.6043,5.2495,8.1159,7.5867,3.3074,5.6272,2.1121,199.6823,0.0056
needle\sim_needle_003\sim_needle_003_p000\rgb_01.png,needle\sim_needle_003\sim_needle_003_p000\depth_01.png,needle\sim_needle_003\sim_needle_003_p000\mask.png,needle,sim_needle_003,sim_needle_003_p000,1,ONE,1790365378.83,67.5625,42.6268,5.9385,7.1781,6.8869,3.3548,5.6716,2.0955,201.5002,0.0046
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p000\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p000\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p000,0,ONE,1790365379.121,921.875,115.0063,13.1974,8.7143,14.8036,10.9306,12.7457,2.5756,9922.25,0.0012
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p000\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p000\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p000,1,ONE,1790365379.345,923.5,114.0,13.75,8.2909,14.3495,10.9153,12.7456,2.5952,9917.9092,0.0017
