rgb,depth,mask,type,physical_id,placement_id,frame,occupancy,t,area_mm2,length_mm,width_mm,elongation,max_height_mm,mean_height_mm,p90_height_mm,height_std_mm,volume_mm3,invalid_depth_frac,source_split,source_file
source\body_tissue_or_organ\IMG_6893.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6893,body_tissue_or_organ:img_6893:0,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6893.JPG
source\body_tissue_or_organ\IMG_6893_JPG.rf.2afba6ab3930adc5ff0a76bd91a2602e.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6893,body_tissue_or_organ:img_6893:1,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6893_JPG.rf.2afba6ab3930adc5ff0a76bd91a2602e.jpg
source\body_tissue_or_organ\IMG_6893_JPG.rf.59b808692a53f69c43364de07a6c4391.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6893,body_tissue_or_organ:img_6893:2,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6893_JPG.rf.59b808692a53f69c43364de07a6c4391.jpg
source\body_tissue_or_organ\IMG_6893_JPG.rf.d6802bf1964191c53dc889bc052e3f88.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6893,body_tissue_or_organ:img_6893:3,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6893_JPG.rf.d6802bf1964191c53dc889bc052e3f88.jpg
source\body_tissue_or_organ\IMG_6897.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6897,body_tissue_or_organ:img_6897:4,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6897.JPG
source\body_tissue_or_organ\IMG_6897_JPG.rf.2e073daa4b2a5763f52ddde70a2d31b4.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6897,body_tissue_or_organ:img_6897:5,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6897_JPG.rf.2e073daa4b2a5763f52ddde70a2d31b4.jpg
source\body_tissue_or_organ\IMG_6897_JPG.rf.4788f0b1710092e80a3c21a28b91c0ac.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6897,body_tissue_or_organ:img_6897:6,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6897_JPG.rf.4788f0b1710092e80a3c21a28b91c0ac.jpg
source\body_tissue_or_organ\IMG_6897_JPG.rf.e4546da1db132f2d48447b66514d0c79.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6897,body_tissue_or_organ:img_6897:7,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6897_JPG.rf.e4546da1db132f2d48447b66514d0c79.jpg
source\body_tissue_or_organ\IMG_6898.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6898,body_tissue_or_organ:img_6898:8,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6898.JPG
source\body_tissue_or_organ\IMG_6898_JPG.rf.67eba81a91907f755c16e5a4bae31525.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6898,body_tissue_or_organ:img_6898:9,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6898_JPG.rf.67eba81a91907f755c16e5a4bae31525.jpg
